Electrical demand in Ws
97585
90448
83645
77065
70708
64908
59778
55652
52752
50744
49295
48291
47287
46283
45391
44611
43830
43272
42938
42715
42715
42826
43161
43607
44276
45057
46060
47287
49072
51971
56990
65020
76507
90671
106173
121564
135951
149111
161044
171750
181342
190152
198517
206993
215580
223722
230413
234874
236213
234428
229633
221826
211454
199297
186583
174539
163944
154910
147326
141081
136062
131713
128032
124352
120783
118106
117326
119779
125913
134835
144984
155022
163721
171193
178107
184688
191268
196732
199744
198628
192829
183684
173535
164278
157698
153014
149111
144761
139185
132270
124463
115987
107288
98589
90002
81637
75507
67911
61321
55736
51604
48700
46801
45572
44790
44232
44008
43673
43338
43115
42780
42780
42891
43338
43897
44678
45684
48141
53279
62326
75953
92484
109462
124541
135822
143530
148221
150566
151237
150566
148668
145987
142636
139173
135711
132918
131020
129791
129232
129232
129679
130684
132583
135711
140067
144758
148556
150566
149896
147104
142971
138503
134259
130461
126998
123648
120520
117839
115605
114377
114153
115270
117951
122754
129568
138168
148109
158944
170225
181171
191224
199824
206303
210212
210994
208202
201835
192899
183070
173799
166316
160172
154587
148779
142077
134594
126552
118063
109462
100750
92149
83660
75613
68007
61408
55815
51676
48768
46867
45636
44853
44294
44070
43735
43399
43176
42840
42840
42952
43399
43959
44741
45748
48209
53354
62414
76061
92615
109617
124717
136014
143732
148430
150779
151450
150779
148877
146193
142837
139370
135902
133106
131204
129974
129415
129415
129862
130869
132770
135902
140265
144962
148765
150779
150108
147311
143173
138699
134448
130645
127178
123822
120690
118006
115769
114538
114315
115433
118118
122927
129750
138363
148318
159168
170465
181427
191494
200106
206594
210509
211292
208495
202120
193171
183328
174044
166550
160398
154806
148989
142278
134784
126730
118229
109617
100892
92279
83778
75711
68096
61488
55888
51744
48832
46928
45696
44912
44352
44128
43792
43456
43232
42896
42896
43008
43456
44016
44800
45808
48272
53424
62496
76159
92735
109759
124879
136191
143919
148623
150975
151647
150975
149071
146383
143023
139551
136079
133279
131375
130143
129583
129583
130031
131039
132943
136079
140447
145151
148959
150975
150303
147503
143359
138879
134623
130815
127343
123983
120847
118159
115919
114687
