Heat demand in Ws
518260
551201
557789
601709
746646
1113382
1102401
1073853
1062873
1040913
1012365
979424
970640
968444
972836
981620
1023345
1058481
1080441
1078245
1054089
964052
834487
612689
547015
581783
588737
635094
815887
1179791
1168202
1103302
1126480
1107937
1075487
1047673
1038402
1022177
1026812
1036084
1063898
1096348
1110255
1103302
1070852
980455
876151
644365
611309
627831
637272
686838
830814
1201376
1189574
1123487
1147090
1128208
1095164
1066841
1057400
1040878
1045598
1040878
1083362
1116406
1130568
1158891
1132928
1036157
896901
658514
541821
576259
619880
629064
780590
1168589
1157110
1092826
1115785
1097418
1058388
1023951
1014767
1012471
1017063
1026247
1069868
1085939
1099714
1092826
1060684
971146
867833
638247
584162
599950
608972
617994
793919
1143514
1132237
1102916
1096150
1069084
1039763
1005932
996910
994654
999165
1008187
1051041
1087128
1080362
1107427
1042019
954056
852561
627016
657718
675494
685651
738980
893886
1292580
1333211
1175765
1175765
1145292
1178305
1147831
1137674
1114819
1109740
1119897
1165608
1201160
1216397
1208778
1173226
1074187
964991
708507
410684
436786
442007
476811
591663
882274
873573
850951
842250
824848
802225
776123
741319
730878
730878
750020
791784
831809
868352
892715
885754
807446
685633
504654
357053
396550
401290
432887
537160
801000
793100
772562
764662
748864
728325
685668
673029
663550
663550
680929
718846
755183
788361
775722
758343
693568
622473
440787
310914
345307
323295
353561
476000
707122
722255
697492
679608
641087
617700
597064
586058
577804
577804
592937
625954
657596
686486
705746
700243
638336
542035
398960
305944
335726
318128
347910
468392
695820
710711
686344
668745
630841
607827
587521
576691
568569
568569
583460
615950
647085
675514
694466
689051
628133
533372
392583
350362
372631
377084
406776
504759
752684
745261
725962
718539
691816
666578
644309
632433
623525
623525
639856
675486
709631
740807
761592
755653
688847
584926
430529
242714
266341
252380
276007
371589
552014
563827
544496
530535
500464
482207
466097
459654
451062
430657
462875
488650
513351
535904
550940
546644
498316
423139
311447
270776
297134
281559
307917
414550
615835
629014
607448
591872
558325
537957
519985
512796
498419
480447
482843
545146
572702
597863
614637
609844
555929
472060
347455
320439
355886
333200
364394
490584
728787
744384
718862
700430
660729
636625
615357
604014
589835
568567
571403
645133
677744
697594
696176
680579
622447
538792
395587
466101
495726
501651
541151
671501
1001327
991452
965777
955902
936152
910477
880852
872952
870977
874927
882827
920352
951952
971702
969727
948002
867027
750501
551026
453382
482198
487961
526384
653177
974002
964396
939422
929816
910605
885631
856814
849130
847209
851051
858735
895236
918290
958633
985528
977844
891394
756917
557121
350553
389331
364513
425007
527381
797275
814338
786417
766253
722822
696453
673186
660777
651470
651470
668532
705759
741435
774009
795724
789520
719719
611141
449825
357758
392584
372005
406831
547719
813663
831076
802582
782003
737679
710768
687023
674359
664861
664861
682274
720266
763007
778837
777254
759841
694938
601541
441658
442596
470727
476354
513862
637639
950832
941455
917074
907697
888943
864563
836432
828930
827055
830806
838307
873940
903947
922701
920825
900196
823304
712655
523239
456352
485357
491159
529832
657456
980383
970715
945577
935908
916571
891433
862428
854693
852760
856627
864362
901102
932041
951378
949444
928174
848892
734804
539501
421224
447996
453351
489048
606848
904917
895993
872790
863866
846017
822814
774623
788902
787117
749635
797826
831738
860296
