	Rescaled to 1000 kWh per week		Production of food	Metal company	Restaurant (high cooling load)	Sport hall	Repair / metal shop	G0 SLP
Time	Weekday nb	Weekday	power in W	power in W	power in W	power in W	power in W	
00:00:00	1	Mo	2858.229528	5710.782861	2078.636141	373.094089	2360.814754	2906.61093
00:15:00	1	Mo	2657.048264	5135.380852	1994.350644	366.3439429	2451.342197	3232.309191
00:30:00	1	Mo	2367.661355	5485.813844	3850.792865	345.7454605	2407.853463	3089.199391
00:45:00	1	Mo	2328.255156	6247.616351	3136.260361	291.1974577	2368.875311	2941.154709
01:00:00	1	Mo	2700.407715	5385.071319	2413.3874	325.3197407	2412.823266	2812.849358
01:15:00	1	Mo	3279.277705	5652.450796	3856.249242	348.6889027	2443.787821	2704.283138
01:30:00	1	Mo	2905.123999	5675.557575	2403.115937	336.1733002	2418.818209	2620.391132
01:45:00	1	Mo	2574.255651	6064.093574	2199.406983	333.1404301	2388.552946	2551.303574
02:00:00	1	Mo	2335.695447	5542.623541	3677.488907	346.1183563	2430.188667	2492.08578
02:15:00	1	Mo	2539.222846	5082.432689	2194.677077	356.0629087	2424.721947	2437.802671
02:30:00	1	Mo	2868.010647	5376.565985	2162.335775	321.0574299	2433.678423	2393.389326
02:45:00	1	Mo	2644.146112	5441.036659	3863.784569	331.6894108	2419.975764	2363.780429
03:00:00	1	Mo	2358.093598	5208.654693	2135.901201	308.2054894	2390.096087	2353.910664
03:15:00	1	Mo	2650.898549	5495.399943	3093.801857	317.1458738	2435.124448	2363.780429
03:30:00	1	Mo	2848.057351	5665.497002	4215.728225	371.3128488	2452.373886	2403.258892
03:45:00	1	Mo	2566.336197	4574.604194	2582.236553	361.0613919	2377.203413	2477.281332
04:00:00	1	Mo	2924.825294	5045.590739	1861.751878	321.6333374	2443.149066	2580.912669
04:15:00	1	Mo	3104.956304	5219.058255	3841.751207	317.9645894	2433.24428	2719.087587
04:30:00	1	Mo	2434.050977	5080.728036	2595.746874	339.2557537	2371.235943	2872.067151
