Normalized to 1000 kWh		Metal 1 (smoother)	Metal 2 (more fluctuation)	Warehouse
Date	Time	power in W	power in W	power in W
	00:00	14.8707951	19.7560628	58.36355593
01.01.2010	00:15	15.4656269	13.01391438	57.58537518
	00:30	15.7630428	13.17070853	56.80719444
	00:45	16.35787461	12.54353194	56.80719444
	01:00	15.7630428	13.48429683	60.69809817
	01:15	15.7630428	13.01391438	61.47627891
	01:30	15.4656269	13.32750268	60.69809817
	01:45	15.7630428	12.70032608	59.91991742
	02:00	15.4656269	13.32750268	57.58537518
	02:15	15.168211	15.20903247	57.58537518
	02:30	15.7630428	16.14979737	56.80719444
	02:45	15.7630428	16.93376811	56.80719444
	03:00	15.7630428	16.14979737	57.58537518
	03:15	15.7630428	13.48429683	57.58537518
	03:30	16.0604587	12.85712023	56.02901369
	03:45	16.0604587	13.79788513	58.36355593
	04:00	16.0604587	13.32750268	56.80719444
	04:15	15.4656269	12.54353194	59.14173667
	04:30	16.0604587	13.17070853	62.25445966
	04:45	16.35787461	12.85712023	63.0326404
	05:00	15.7630428	13.32750268	62.25445966
	05:15	16.0604587	13.01391438	60.69809817
	05:30	15.7630428	13.01391438	63.0326404
	05:45	16.0604587	13.48429683	63.0326404
	06:00	15.7630428	12.70032608	60.69809817
	06:15	16.65529051	13.48429683	61.47627891
	06:30	16.35787461	13.01391438	61.47627891
	06:45	16.0604587	13.01391438	60.69809817
	07:00	16.35787461	13.01391438	61.47627891
	07:15	16.35787461	13.17070853	61.47627891
	07:30	15.7630428	13.32750268	59.91991742
	07:45	16.65529051	13.64109098	62.25445966
	08:00	15.7630428	12.70032608	63.0326404
	08:15	16.0604587	13.32750268	56.80719444
	08:30	16.35787461	12.85712023	52.13810996
	08:45	16.0604587	12.54353194	50.58174847
	09:00	15.7630428	12.07314949	51.35992922
	09:15	15.7630428	10.34841385	51.35992922
	09:30	16.0604587	11.91635534	49.80356773
	09:45	16.65529051	10.505208	54.4726522
	10:00	15.7630428	10.66200215	54.4726522
	10:15	16.65529051	10.1916197	50.58174847
	10:30	15.168211	9.564443101	51.35992922
	10:45	15.7630428	10.03482555	49.80356773
	11:00	16.0604587	10.03482555	46.69084474
	11:15	15.4656269	9.72123725	50.58174847
	11:30	15.7630428	10.1916197	47.46902549
	11:45	15.4656269	9.564443101	47.46902549
	12:00	16.0604587	9.72123725	52.13810996
	12:15	16.35787461	9.72123725	49.02538698
	12:30	16.0604587	9.72123725	47.46902549
	12:45	16.0604587	9.878031399	49.80356773
	13:00	15.4656269	9.250854803	47.46902549
	13:15	15.7630428	10.03482555	49.02538698
	13:30	16.0604587	9.407648952	48.24720623
	13:45	15.4656269	10.03482555	48.24720623
	14:00	15.7630428	9.407648952	49.02538698
	14:15	15.7630428	9.878031399	49.80356773
	14:30	16.35787461	9.407648952	48.24720623
	14:45	15.4656269	10.505208	48.24720623
	15:00	17.25012231	9.72123725	49.02538698
	15:15	15.7630428	9.564443101	46.69084474
	15:30	16.35787461	10.03482555	49.02538698
	15:45	16.35787461	10.1916197	49.80356773
	16:00	15.168211	9.878031399	46.69084474
	16:15	15.7630428	9.564443101	56.02901369
	16:30	15.4656269	11.60276704	59.14173667
	16:45	15.7630428	11.44597289	57.58537518
	17:00	15.4656269	11.91635534	59.91991742
	17:15	15.7630428	12.70032608	61.47627891
	17:30	15.4656269	13.48429683	59.91991742
	17:45	16.65529051	12.38673779	62.25445966
	18:00	16.0604587	12.70032608	60.69809817
	18:15	16.35787461	12.70032608	60.69809817
	18:30	16.35787461	12.85712023	63.81082115
	18:45	15.168211	12.70032608	66.14536339
	19:00	16.65529051	12.85712023	64.58900189
	19:15	15.7630428	13.01391438	64.58900189
	19:30	16.0604587	13.01391438	63.81082115
	19:45	15.7630428	12.70032608	60.69809817
	20:00	15.7630428	13.17070853	61.47627891
	20:15	16.65529051	12.70032608	61.47627891
	20:30	16.65529051	12.85712023	61.47627891
	20:45	15.7630428	12.70032608	60.69809817
	21:00	15.4656269	12.54353194	61.47627891
	21:15	16.35787461	13.17070853	62.25445966
	21:30	15.7630428	12.54353194	60.69809817
	21:45	16.35787461	13.01391438	59.91991742
	22:00	15.7630428	12.70032608	62.25445966
	22:15	16.0604587	13.17070853	59.14173667
	22:30	16.95270641	13.01391438	57.58537518
	22:45	16.0604587	13.32750268	59.14173667
	23:00	16.35787461	12.85712023	60.69809817
	23:15	15.7630428	13.01391438	58.36355593
	23:30	15.7630428	13.17070853	59.91991742
	23:45	16.65529051	13.64109098	58.36355593
	00:00	15.4656269	13.17070853	56.80719444
02.01.2010	00:15	16.95270641	13.32750268	56.02901369
	00:30	16.35787461	13.17070853	56.80719444
	00:45	16.35787461	13.01391438	56.80719444
	01:00	16.35787461	13.01391438	56.80719444
	01:15	15.7630428	13.32750268	55.25083295
	01:30	16.35787461	13.48429683	56.02901369
	01:45	16.0604587	13.32750268	56.02901369
	02:00	16.0604587	13.32750268	56.02901369
	02:15	16.65529051	12.70032608	56.02901369
	02:30	16.95270641	13.32750268	56.80719444
	02:45	16.95270641	13.17070853	56.02901369
	03:00	15.7630428	12.70032608	56.02901369
	03:15	16.35787461	13.01391438	57.58537518
	03:30	16.35787461	13.79788513	60.69809817
	03:45	16.35787461	12.85712023	61.47627891
	04:00	17.25012231	13.32750268	59.14173667
	04:15	16.0604587	13.32750268	59.14173667
	04:30	16.35787461	13.17070853	58.36355593
	04:45	16.65529051	13.17070853	59.14173667
	05:00	17.25012231	13.17070853	58.36355593
	05:15	17.25012231	13.01391438	59.14173667
	05:30	16.65529051	13.01391438	61.47627891
	05:45	16.35787461	13.17070853	62.25445966
	06:00	16.65529051	13.01391438	59.14173667
	06:15	16.35787461	13.01391438	62.25445966
	06:30	16.65529051	13.01391438	61.47627891
	06:45	16.0604587	13.48429683	59.91991742
	07:00	17.54753821	12.85712023	62.25445966
	07:15	16.35787461	12.85712023	61.47627891
	07:30	17.25012231	13.01391438	61.47627891
	07:45	16.65529051	13.01391438	62.25445966
	08:00	16.65529051	13.01391438	61.47627891
	08:15	16.65529051	13.17070853	56.80719444
	08:30	16.65529051	12.54353194	51.35992922
	08:45	16.95270641	10.97559044	50.58174847
	09:00	16.95270641	10.505208	49.80356773
	09:15	16.0604587	9.72123725	48.24720623
	09:30	16.95270641	10.03482555	47.46902549
	09:45	16.65529051	9.72123725	48.24720623
	10:00	16.65529051	10.03482555	48.24720623
	10:15	16.35787461	9.407648952	48.24720623
	10:30	16.35787461	10.03482555	49.02538698
	10:45	16.65529051	10.03482555	46.69084474
	11:00	16.65529051	9.878031399	49.80356773
	11:15	16.35787461	10.03482555	47.46902549
	11:30	16.65529051	10.1916197	48.24720623
	11:45	15.4656269	9.094060653	49.80356773
	12:00	16.95270641	9.72123725	48.24720623
	12:15	15.4656269	9.878031399	52.13810996
	12:30	16.95270641	10.03482555	52.13810996
	12:45	15.7630428	10.03482555	49.80356773
	13:00	16.0604587	9.72123725	48.24720623
	13:15	27.06484708	9.250854803	49.02538698
	13:30	34.50024462	10.03482555	46.69084474
	13:45	37.47440364	9.564443101	48.24720623
	14:00	40.74597857	11.28917874	48.24720623
	14:15	38.96148315	11.60276704	45.912664
	14:30	45.504633	11.44597289	48.24720623
	14:45	42.23305807	11.28917874	49.80356773
	15:00	38.96148315	12.22994364	46.69084474
	15:15	38.96148315	11.91635534	47.46902549
	15:30	38.06923545	11.75956119	49.80356773
	15:45	38.36665135	12.22994364	46.69084474
	16:00	36.28474004	11.75956119	54.4726522
	16:15	39.55631496	12.54353194	59.14173667
	16:30	35.39249233	12.70032608	58.36355593
	16:45	38.66406725	14.26826758	56.80719444
	17:00	35.39249233	14.42506173	60.69809817
	17:15	37.77181955	14.73865002	61.47627891
	17:30	35.09507643	14.89544417	61.47627891
	17:45	38.06923545	14.58185588	60.69809817
	18:00	35.39249233	15.05223832	60.69809817
	18:15	37.47440364	14.42506173	60.69809817
	18:30	35.39249233	14.89544417	60.69809817
	18:45	36.87957184	14.42506173	59.14173667
	19:00	35.68990823	14.58185588	61.47627891
	19:15	37.77181955	14.73865002	61.47627891
	19:30	35.68990823	14.89544417	59.91991742
	19:45	36.28474004	14.73865002	61.47627891
	20:00	35.68990823	14.42506173	60.69809817
	20:15	36.87957184	14.89544417	60.69809817
	20:30	34.79766053	14.11147343	62.25445966
	20:45	36.58215594	15.36582662	60.69809817
	21:00	35.68990823	14.89544417	64.58900189
	21:15	36.58215594	14.73865002	65.36718264
	21:30	35.98732413	15.20903247	62.25445966
	21:45	36.28474004	14.58185588	60.69809817
	22:00	35.68990823	14.58185588	60.69809817
	22:15	36.58215594	14.58185588	59.14173667
	22:30	35.98732413	14.73865002	57.58537518
	22:45	35.09507643	14.26826758	59.14173667
	23:00	36.28474004	14.73865002	59.14173667
