TRY02   Ostseeküste                                                        (Klimaregion  2)
Station: Rostock                         WMO-Nummer: 10170
Lage: 54°11'N <- B.  12°05'O <- L.     4 Meter über NN
Zeitpunkt der Erstellung: November 2010

Art des TRY    : extremer Winter
Bezugszeitraum : 2021-2050
Stadteffekt    : -----
Höhenkorrektur : -----

Datenbasis 1: Beobachtungsdaten Zeitraum 1988-2007
Datenbasis 2: Klimasimulationen Zeitraum 1971-2000 (Basis SRES-20C / ECHAM5-OM Lauf 1 / CLM; REMO-UBA; STAR2; WETTREG2006 und WETTREG2010)
Datenbasis 3: Klimasimulationen Zeitraum 2021-2050 (Basis SRES-A1B / ECHAM5-OM Lauf 1 / CLM; REMO-UBA; STAR2; WETTREG2006 und WETTREG2010)

Format: (i2,2x,i4,2x,i2,2x,i2,2x,i2,2x,i1,2x,i3,2x,f6.1,2x,f6.1,2x,f7.1,2x,f6.1,2x,i3,2x,i2,2x,i4,2x,i4,1x,i1,2x,i4,2x,i5,2x,i1)

Reihenfolge der Parameter:
RG TRY-Region                                                           {1..15}
IS Standortinformation                                                  {1,2}
MM Monat                                                                {1..12}
DD Tag                                                                  {1..28,30,31}
HH Stunde (MEZ)                                                         {1..24}
N  Bedeckungsgrad                                              [Achtel] {0..8;9}
WR Windrichtung in 10 m Höhe über Grund                        [°]      {0;10..360;999}
WG Windgeschwindigkeit in 10 m Höhe über Grund                 [m/s]
t  Lufttemperatur in 2m Höhe über Grund                        [°C]
p  Luftdruck in Stationshöhe                                   [hPa]
x  Wasserdampfgehalt, Mischungsverhältnis                      [g/kg]
RF Relative Feuchte in 2 m Höhe über Grund                     [%]      {1..100}
W  Wetterereignis der aktuellen Stunde                                  {0..99}
B  Direkte Sonnenbestrahlungsstärke (horiz. Ebene)             [W/m²]   abwärts gerichtet: positiv
D  Difuse Sonnenbetrahlungsstärke (horiz. Ebene)               [W/m²]   abwärts gerichtet: positiv
IK Information, ob B und oder D Messwert/Rechenwert                     {1;2;3;4;9}
A  Bestrahlungsstärke d. atm. Wärmestrahlung (horiz. Ebene)    [W/m²]   abwärts gerichtet: positiv
E  Bestrahlungsstärke d. terr. Wärmestrahlung                  [W/m²]   aufwärts gerichtet: negativ
IL Qualitätsbit für die langwelligen Strahlungsgrößen                   {1;2;3;4;5;6;7;8;9}


RG    IS  MM  DD  HH  N   WR      WG       t       p        x   RF   W     B     D IK    A      E IL
***
 2     1   1   1   1  1  180     2.7     0.6   1020.9     3.3   86  10     0     0 1   235   -312  9
 2     1   1   1   2  3  180     2.8     0.6   1020.8     3.3   86  10     0     0 1   235   -312  9
 2     1   1   1   3  5  180     3.0     0.7   1020.5     3.4   87  10     0     0 1   303   -317  9
 2     1   1   1   4  7  190     3.2     0.9   1020.2     3.4   86  10     0     0 1   305   -319  9
 2     1   1   1   5  8  180     3.4     1.1   1019.8     3.4   85  10     0     0 1   305   -320  9
 2     1   1   1   6  8  180     3.0     1.3   1019.2     3.5   85  10     0     0 1   306   -321  9
 2     1   1   1   7  8  190     4.0     1.3   1019.1     3.5   85  10     0     0 1   306   -321  9
 2     1   1   1   8  8  180     3.0     1.5   1018.7     3.6   86  20     0     0 1   307   -322  9
 2     1   1   1   9  8  190     4.0     1.6   1018.7     3.6   86  50     0     3 1   308   -322  9
 2     1   1   1  10  8  190     4.0     1.5   1018.4     3.6   87  50     0    22 1   307   -322  9
 2     1   1   1  11  8  190     4.0     1.7   1018.3     3.7   88  20     0    31 1   308   -323  9
 2     1   1   1  12  8  190     3.0     1.8   1017.6     3.8   89  51     0    33 1   309   -323  9
 2     1   1   1  13  8  200     3.0     2.0   1017.0     3.9   90  58     0    33 1   310   -324  9
 2     1   1   1  14  8  200     3.0     2.3   1016.6     4.0   90  61     0    39 1   311   -325  9
 2     1   1   1  15  8  190     4.0     2.5   1016.3     4.0   90  51     0    17 1   312   -326  9
 2     1   1   1  16  8  200     4.0     2.6   1016.3     4.1   91  51     0     3 1   313   -327  9
 2     1   1   1  17  8  190     3.0     2.8   1016.4     4.2   92  51     0     0 1   295   -326  9
 2     1   1   1  18  8  240     2.0     3.5   1016.8     4.4   92  51     0     0 1   317   -331  9
 2     1   1   1  19  8  290     6.0     3.6   1017.3     4.4   92  20     0     0 1   318   -332  9
 2     1   1   1  20  8  310     7.0     4.0   1018.0     4.6   92  10     0     0 1   301   -332  9
 2     1   1   1  21  7  290     6.0     4.0   1018.6     4.6   92  -1     0     0 1   301   -332  9
 2     1   1   1  22  8  300     7.0     4.2   1019.5     4.6   92  -1     0     0 1   321   -335  9
 2     1   1   1  23  8  300     6.0     4.0   1020.0     4.6   92  10     0     0 1   320   -334  9
 2     1   1   1  24  8  310     7.0     3.9   1020.8     4.5   92  10     0     0 1   319   -333  9
