TRY13   Schwäbisch-fränkisches Stufenland und Alpenvorland                 (Klimaregion 13)
Station: Muehldorf                       WMO-Nummer: 10875
Lage: 48°17'N <- B.  12°30'O <- L.   405 Meter über NN
Zeitpunkt der Erstellung: November 2010

Art des TRY    : extremer Winter
Bezugszeitraum : 2021-2050
Stadteffekt    : -----
Höhenkorrektur : -----

Datenbasis 1: Beobachtungsdaten Zeitraum 1988-2007
Datenbasis 2: Klimasimulationen Zeitraum 1971-2000 (Basis SRES-20C / ECHAM5-OM Lauf 1 / CLM; REMO-UBA; STAR2; WETTREG2006 und WETTREG2010)
Datenbasis 3: Klimasimulationen Zeitraum 2021-2050 (Basis SRES-A1B / ECHAM5-OM Lauf 1 / CLM; REMO-UBA; STAR2; WETTREG2006 und WETTREG2010)

Format: (i2,2x,i4,2x,i2,2x,i2,2x,i2,2x,i1,2x,i3,2x,f6.1,2x,f6.1,2x,f7.1,2x,f6.1,2x,i3,2x,i2,2x,i4,2x,i4,1x,i1,2x,i4,2x,i5,2x,i1)

Reihenfolge der Parameter:
RG TRY-Region                                                           {1..15}
IS Standortinformation                                                  {1,2}
MM Monat                                                                {1..12}
DD Tag                                                                  {1..28,30,31}
HH Stunde (MEZ)                                                         {1..24}
N  Bedeckungsgrad                                              [Achtel] {0..8;9}
WR Windrichtung in 10 m Höhe über Grund                        [°]      {0;10..360;999}
WG Windgeschwindigkeit in 10 m Höhe über Grund                 [m/s]
t  Lufttemperatur in 2m Höhe über Grund                        [°C]
p  Luftdruck in Stationshöhe                                   [hPa]
x  Wasserdampfgehalt, Mischungsverhältnis                      [g/kg]
RF Relative Feuchte in 2 m Höhe über Grund                     [%]      {1..100}
W  Wetterereignis der aktuellen Stunde                                  {0..99}
B  Direkte Sonnenbestrahlungsstärke (horiz. Ebene)             [W/m²]   abwärts gerichtet: positiv
D  Difuse Sonnenbetrahlungsstärke (horiz. Ebene)               [W/m²]   abwärts gerichtet: positiv
IK Information, ob B und oder D Messwert/Rechenwert                     {1;2;3;4;9}
A  Bestrahlungsstärke d. atm. Wärmestrahlung (horiz. Ebene)    [W/m²]   abwärts gerichtet: positiv
E  Bestrahlungsstärke d. terr. Wärmestrahlung                  [W/m²]   aufwärts gerichtet: negativ
IL Qualitätsbit für die langwelligen Strahlungsgrößen                   {1;2;3;4;5;6;7;8;9}


RG    IS  MM  DD  HH  N   WR      WG       t       p        x   RF   W     B     D IK    A      E IL
***
13     1   1   1   1  8   30     2.8    -1.0    969.1     3.5   95  22     0     0 9   283   -310  9
13     1   1   1   2  8   10     2.1    -1.0    970.4     3.5   96   0     0     0 9   267   -308  9
13     1   1   1   3  8   10     1.5    -1.0    971.2     3.5   94   0     0     0 9   283   -310  9
13     1   1   1   4  8   70     1.4    -1.0    970.9     3.4   94   0     0     0 9   283   -309  9
13     1   1   1   5  8   50     1.0    -1.0    970.5     3.4   93  22     0     0 9   283   -309  9
13     1   1   1   6  8   90     1.0    -1.1    969.8     3.4   93  -1     0     0 9   295   -310  9
13     1   1   1   7  8   50     0.0    -1.2    969.8     3.4   94  -1     0     0 9   294   -309  9
13     1   1   1   8  8   60     1.0    -1.2    969.4     3.4   94  -1     0     0 9   294   -309  9
13     1   1   1   9  8   70     1.0    -1.2    968.8     3.4   94  -1     0    16 9   294   -309  9
13     1   1   1  10  8   70     2.0    -0.9    968.5     3.4   92  -1     0    46 9   296   -310  9
13     1   1   1  11  8   90     2.0    -0.7    967.7     3.4   90  -1     0    67 9   278   -310  9
13     1   1   1  12  8   90     2.0    -0.5    966.3     3.4   91  -1     0    76 9   298   -312  9
13     1   1   1  13  8  110     3.0    -0.1    964.7     3.5   88  -1     0    73 9   300   -314  9
13     1   1   1  14  7   90     3.0    -0.5    963.9     3.3   86  -1    15    92 9   279   -311  9
13     1   1   1  15  8   80     3.0    -0.8    963.2     3.2   86  -1     0    30 9   277   -310  9
13     1   1   1  16  8   80     3.0    -1.2    962.8     3.1   87  -1     0     2 9   275   -308  9
13     1   1   1  17  8   70     3.0    -1.3    962.4     3.2   89  -1     0     0 9   294   -309  9
13     1   1   1  18  8  100     2.0    -1.4    962.3     3.1   88   0     0     0 9   281   -307  9
13     1   1   1  19  8   90     2.0    -1.7    961.8     3.1   88   0     0     0 9   280   -306  9
13     1   1   1  20  8   80     2.0    -1.9    962.0     3.0   86   0     0     0 9   279   -305  9
13     1   1   1  21  8   70     3.0    -2.3    962.0     2.8   85   0     0     0 9   277   -303  9
13     1   1   1  22  8   60     2.0    -2.6    961.9     2.9   87   0     0     0 9   276   -302  9
13     1   1   1  23  8   60     2.0    -2.6    961.6     2.9   87   0     0     0 9   276   -302  9
13     1   1   1  24  8   70     2.0    -2.8    961.3     2.8   87   0     0     0 9   275   -301  9
13     1   1   2   1  8   50     1.0    -3.1    961.2     2.8   87   0     0     0 9   274   -300  9
13     1   1   2   2  8   50     2.0    -3.1    961.2     2.8   89   0     0     0 9   274   -300  9
13     1   1   2   3  8   70     2.0    -3.2    961.5     2.8   90   0     0     0 9   257   -298  9
13     1   1   2   4  8   90     3.0    -3.2    961.6     2.7   87  70     0     0 9   257   -298  9
13     1   1   2   5  8   70     3.0    -3.4    961.5     2.8   90  71     0     0 9   257   -297  9
13     1   1   2   6  8   70     3.0    -3.5    961.5     2.7   89  71     0     0 9   264   -297  9
13     1   1   2   7  8   60     2.0    -3.5    962.0     2.7   88  70     0     0 9   283   -299  9
13     1   1   2   8  8   60     3.0    -3.6    962.5     2.7   88  71     0     0 9   283   -298  9
13     1   1   2   9  8   70     3.0    -3.7    963.4     2.7   90  71     0    16 9   282   -298  9
13     1   1   2  10  8   70     3.0    -3.7    963.9     2.7   91  71     0    46 9   263   -296  9
13     1   1   2  11  8   80     4.0    -3.4    964.6     2.6   86  71     0    67 9   284   -299  9
13     1   1   2  12  6  100     5.0    -3.2    964.5     2.6   82  22    45   151 9   250   -298  9
13     1   1   2  13  6   80     4.0    -3.4    964.6     2.5   81  36    42   144 9   220   -295  9
13     1   1   2  14  7   80     4.0    -3.4    964.9     2.4   78   2    15    93 9   227   -295  9
13     1   1   2  15  8   80     5.0    -3.4    965.7     2.4   78  -1     0    31 9   265   -298  9
13     1   1   2  16  8   80     3.0    -3.7    966.6     2.4   79  -1     0     2 9   263   -296  9
13     1   1   2  17  8   80     2.0    -4.0    967.3     2.4   82  -1     0     0 9   281   -296  9
13     1   1   2  18  8   70     3.0    -4.0    967.8     2.4   82   0     0     0 9   270   -296  9
13     1   1   2  19  8   80     3.0    -4.2    968.5     2.3   79   0     0     0 9   269   -295  9
13     1   1   2  20  8   80     3.0    -4.7    969.2     2.2   79   0     0     0 9   267   -293  9
13     1   1   2  21  8   80     3.0    -6.5    969.9     1.9   80   0     0     0 9   230   -283  9
13     1   1   2  22  7   80     2.0    -7.5    970.6     1.8   82   0     0     0 9   202   -277  9
13     1   1   2  23  7  100     2.0    -8.0    971.0     1.8   85   0     0     0 9   199   -275  9
13     1   1   2  24  5   70     1.0   -10.4    971.1     1.5   86  11     0     0 9   189   -265  9
13     1   1   3   1  3   70     3.0    -8.4    971.1     1.8   86  11     0     0 9   194   -273  9
13     1   1   3   2  2  100     1.0    -8.5    971.5     1.8   85  11     0     0 9   195   -272  9
13     1   1   3   3  2  230     1.0   -10.2    971.7     1.5   85  40     0     0 9   187   -265  9
13     1   1   3   4  2  270     1.0   -12.9    971.7     1.2   85  40     0     0 9   176   -254  9
13     1   1   3   5  1  290     1.0   -11.9    971.8     1.5   94  40     0     0 9   179   -258  9
13     1   1   3   6  8  260     1.0   -10.8    971.8     1.6   92  -1     0     0 9   231   -266  9
13     1   1   3   7  8  250     0.0   -10.2    972.2     1.7   92  -1     0     0 9   253   -270  9
13     1   1   3   8  8  260     1.0    -9.4    972.6     1.8   91  -1     0     0 9   256   -273  9
13     1   1   3   9  7  140     0.0    -9.0    973.0     1.8   90  78     4    28 9   239   -273  9
13     1   1   3  10  7  270     1.0    -8.1    973.3     1.9   90  71    12    76 9   243   -277  9
13     1   1   3  11  6  240     1.0    -7.6    973.0     1.9   86  22    38   134 9   230   -278  9
13     1   1   3  12  7  220     1.0    -6.1    972.8     2.1   84  78    23   124 9   252   -286  9
13     1   1   3  13  7   50     1.0    -4.7    972.3     2.3   84  78    21   118 9   259   -292  9
13     1   1   3  14  7  340     2.0    -4.2    972.0     2.3   80  22    16    94 9   261   -294  9
13     1   1   3  15  7   60     1.0    -4.0    972.2     2.4   81  -1     7    52 9   262   -295  9
13     1   1   3  16  7   50     1.0    -4.3    972.3     2.3   81   2     1     4 9   260   -294  9
13     1   1   3  17  7   30     1.0    -4.7    972.4     2.3   83  -1     0     0 9   259   -292  9
13     1   1   3  18  8  160     1.0    -5.0    972.2     2.3   85   0     0     0 9   266   -291  9
13     1   1   3  19  8  350     0.0    -5.5    972.0     2.3   89  22     0     0 9   264   -289  9
13     1   1   3  20  7   20     0.0    -5.8    971.9     2.3   92   0     0     0 9   246   -287  9
13     1   1   3  21  7  350     0.0    -6.2    971.5     2.2   90  22     0     0 9   244   -285  9
13     1   1   3  22  7  340     0.0    -6.1    971.6     2.2   90  22     0     0 9   245   -285  9
13     1   1   3  23  7  160     0.0    -6.5    971.4     2.2   90   0     0     0 9   243   -284  9
13     1   1   3  24  7  320     0.0    -6.8    971.1     2.1   91   0     0     0 9   242   -282  9
13     1   1   4   1  7  270     1.0    -6.7    970.5     2.1   88   2     0     0 9   242   -283  9
13     1   1   4   2  7  310     0.0    -6.8    970.2     2.1   89  22     0     0 9   242   -282  9
13     1   1   4   3  8  300     1.0    -6.8    970.3     2.1   88   0     0     0 9   258   -284  9
13     1   1   4   4  8  360     1.0    -6.5    970.3     2.1   86  70     0     0 9   259   -285  9
13     1   1   4   5  8  270     1.0    -6.5    970.0     2.2   89  70     0     0 9   259   -285  9
13     1   1   4   6  8  300     0.0    -6.3    969.3     2.1   86  22     0     0 9   270   -286  9
13     1   1   4   7  8  260     1.0    -6.3    969.0     2.1   86   2     0     0 9   270   -286  9
13     1   1   4   8  8  260     3.0    -6.0    969.0     2.1   82  22     0     0 9   272   -288  9
13     1   1   4   9  8  260     1.0    -6.1    969.2     2.1   84  -1     0    17 9   271   -287  9
13     1   1   4  10  8  260     1.0    -6.0    969.0     2.1   84   2     0    47 9   272   -288  9
13     1   1   4  11  8  300     2.0    -5.7    969.5     2.1   82  -1     0    68 9   273   -289  9
13     1   1   4  12  8  290     3.0    -5.4    969.4     2.2   84  -1     0    78 9   274   -290  9
13     1   1   4  13  8  270     3.0    -5.3    968.5     2.2   84   1     0    74 9   275   -291  9
13     1   1   4  14  8  280     4.0    -4.7    968.6     2.3   83  71     0    58 9   278   -293  9
13     1   1   4  15  8  280     3.0    -4.8    968.8     2.5   90  73     0    32 9   277   -293  9
13     1   1   4  16  8  250     2.0    -5.0    968.9     2.5   93  73     0     3 9   276   -292  9
13     1   1   4  17  8  240     1.0    -4.9    968.7     2.6   94  71     0     0 9   277   -292  9
13     1   1   4  18  8  250     3.0    -3.9    968.3     2.6   87  22     0     0 9   254   -295  9
13     1   1   4  19  8  250     5.0    -3.3    967.7     2.7   87  10     0     0 9   257   -298  9
13     1   1   4  20  8  280     4.0    -3.0    968.0     2.8   90  75     0     0 9   274   -300  9
13     1   1   4  21  8  270     4.0    -2.7    968.0     2.9   91  22     0     0 9   260   -300  9
13     1   1   4  22  8  280     6.0    -2.2    967.9     3.0   89  70     0     0 9   278   -304  9
13     1   1   4  23  8  280     7.0    -2.1    967.9     3.0   89  10     0     0 9   278   -304  9
13     1   1   4  24  8  270     7.0    -1.9    968.3     3.1   91  22     0     0 9   279   -305  9
13     1   1   5   1  8  270     7.0    -1.6    968.3     3.1   89  70     0     0 9   280   -306  9
13     1   1   5   2  8  270     8.0    -1.3    968.4     3.2   89  10     0     0 9   282   -308  9
13     1   1   5   3  8  270     7.0    -1.2    968.5     3.2   90  10     0     0 9   282   -308  9
13     1   1   5   4  8  270     7.0    -1.0    968.3     3.2   89  10     0     0 9   267   -308  9
13     1   1   5   5  8  270     7.0    -1.0    968.2     3.4   93  73     0     0 9   267   -308  9
13     1   1   5   6  8  270     6.0    -0.8    968.3     3.4   92  73     0     0 9   277   -310  9
13     1   1   5   7  8  270     7.0    -0.6    968.4     3.5   92  73     0     0 9   278   -310  9
13     1   1   5   8  8  270     8.0    -0.4    968.8     3.6   94  71     0     0 9   279   -311  9
13     1   1   5   9  9  280     7.0    -0.2    969.4     3.7   96  73     0    17 9   299   -314  9
13     1   1   5  10  8  280     7.0     0.0    969.8     3.6   92  71     0    47 9   300   -315  9
13     1   1   5  11  8  280     8.0     0.4    970.6     3.6   89  71     0    68 9   283   -315  9
13     1   1   5  12  7  280     8.0     0.6    970.7     3.6   89  71    23   125 9   284   -316  9
