TRY13   Schwäbisch-fränkisches Stufenland und Alpenvorland                 (Klimaregion 13)
Station: Muehldorf                       WMO-Nummer: 10875
Lage: 48°17'N <- B.  12°30'O <- L.   405 Meter über NN
Zeitpunkt der Erstellung: November 2010

Art des TRY    : extremer Sommer
Bezugszeitraum : 2021-2050
Stadteffekt    : -----
Höhenkorrektur : -----

Datenbasis 1: Beobachtungsdaten Zeitraum 1988-2007
Datenbasis 2: Klimasimulationen Zeitraum 1971-2000 (Basis SRES-20C / ECHAM5-OM Lauf 1 / CLM; REMO-UBA; STAR2; WETTREG2006 und WETTREG2010)
Datenbasis 3: Klimasimulationen Zeitraum 2021-2050 (Basis SRES-A1B / ECHAM5-OM Lauf 1 / CLM; REMO-UBA; STAR2; WETTREG2006 und WETTREG2010)

Format: (i2,2x,i4,2x,i2,2x,i2,2x,i2,2x,i1,2x,i3,2x,f6.1,2x,f6.1,2x,f7.1,2x,f6.1,2x,i3,2x,i2,2x,i4,2x,i4,1x,i1,2x,i4,2x,i5,2x,i1)

Reihenfolge der Parameter:
RG TRY-Region                                                           {1..15}
IS Standortinformation                                                  {1,2}
MM Monat                                                                {1..12}
DD Tag                                                                  {1..28,30,31}
HH Stunde (MEZ)                                                         {1..24}
N  Bedeckungsgrad                                              [Achtel] {0..8;9}
WR Windrichtung in 10 m Höhe über Grund                        [°]      {0;10..360;999}
WG Windgeschwindigkeit in 10 m Höhe über Grund                 [m/s]
t  Lufttemperatur in 2m Höhe über Grund                        [°C]
p  Luftdruck in Stationshöhe                                   [hPa]
x  Wasserdampfgehalt, Mischungsverhältnis                      [g/kg]
RF Relative Feuchte in 2 m Höhe über Grund                     [%]      {1..100}
W  Wetterereignis der aktuellen Stunde                                  {0..99}
B  Direkte Sonnenbestrahlungsstärke (horiz. Ebene)             [W/m²]   abwärts gerichtet: positiv
D  Difuse Sonnenbetrahlungsstärke (horiz. Ebene)               [W/m²]   abwärts gerichtet: positiv
IK Information, ob B und oder D Messwert/Rechenwert                     {1;2;3;4;9}
A  Bestrahlungsstärke d. atm. Wärmestrahlung (horiz. Ebene)    [W/m²]   abwärts gerichtet: positiv
E  Bestrahlungsstärke d. terr. Wärmestrahlung                  [W/m²]   aufwärts gerichtet: negativ
IL Qualitätsbit für die langwelligen Strahlungsgrößen                   {1;2;3;4;5;6;7;8;9}


RG    IS  MM  DD  HH  N   WR      WG       t       p        x   RF   W     B     D IK    A      E IL
***
13     1   1   1   1  3   70     2.1    -2.6    969.0     2.1   84  10     0     0 9   205   -284  9
13     1   1   1   2  1   60     2.2    -4.6    975.9     2.1   86  10     0     0 9   203   -282  9
13     1   1   1   3  0   60     1.8    -6.4    981.3     2.1   88  10     0     0 9   203   -282  9
13     1   1   1   4  0   90     1.7    -6.6    981.7     2.0   88  10     0     0 9   200   -279  9
13     1   1   1   5  0   80     1.8    -6.8    982.2     2.1   89  10     0     0 9   200   -279  9
13     1   1   1   6  0   80     1.0    -6.6    982.8     2.1   90  10     0     0 9   201   -280  9
13     1   1   1   7  0   70     2.0    -7.2    983.2     2.0   89  10     0     0 9   199   -278  9
13     1   1   1   8  0   70     2.0    -7.7    983.5     1.9   90  10     0     0 9   196   -276  9
13     1   1   1   9  0   80     2.9    -7.4    984.2     2.0   89  10    29    30 9   198   -277  9
13     1   1   1  10  0   80     3.0    -6.2    984.7     2.2   88  10    94    71 9   203   -282  9
13     1   1   1  11  0   90     2.0    -4.7    984.7     2.3   85  10   151    88 9   210   -289  9
13     1   1   1  12  0   90     3.0    -3.3    984.8     2.4   79   5   179    94 9   217   -295  9
13     1   1   1  13  0   90     3.0    -2.2    984.5     2.5   76  -1   168    92 9   222   -300  9
13     1   1   1  14  0   70     4.0    -2.0    984.3     2.2   67  -1   122    81 9   223   -301  9
13     1   1   1  15  0   70     6.0    -2.1    984.8     2.1   62  -1    56    51 9   223   -300  9
13     1   1   1  16  0   70     3.0    -2.9    985.3     2.1   66  -1     4     3 9   219   -297  9
13     1   1   1  17  0   60     2.0    -4.5    985.5     2.0   74  -1     0     0 9   211   -289  9
13     1   1   1  18  0   60     2.0    -5.6    985.2     2.0   78   0     0     0 9   206   -285  9
13     1   1   1  19  0   90     2.0    -5.6    985.8     1.8   72   0     0     0 9   206   -285  9
13     1   1   1  20  0   70     2.0    -6.6    985.9     1.7   74   0     0     0 9   201   -280  9
13     1   1   1  21  0  100     2.0    -6.9    986.6     1.8   77   0     0     0 9   200   -279  9
13     1   1   1  22  0    0     0.0    -9.8    986.5     1.5   81   0     0     0 9   187   -267  9
13     1   1   1  23  0   20     0.0   -10.9    986.3     1.5   87   0     0     0 9   183   -262  9
13     1   1   1  24  0   30     0.0   -11.3    986.3     1.5   92   0     0     0 9   181   -261  9
13     1   1   2   1  0   40     1.0    -9.2    986.1     1.6   83   0     0     0 9   190   -269  9
13     1   1   2   2  0   70     2.0    -9.4    986.2     1.6   83   0     0     0 9   189   -268  9
13     1   1   2   3  0   70     2.0   -10.1    986.6     1.5   85   0     0     0 9   186   -266  9
13     1   1   2   4  0    0     0.0   -12.6    986.6     1.3   88   0     0     0 9   176   -255  9
13     1   1   2   5  0  320     0.0   -12.6    986.7     1.3   89  10     0     0 9   176   -255  9
13     1   1   2   6  0   90     3.0   -11.9    986.4     1.4   93  -1     0     0 9   178   -258  9
13     1   1   2   7  0   80     4.0   -10.9    986.3     1.5   87  -1     0     0 9   183   -262  9
13     1   1   2   8  0   90     4.0   -11.2    986.5     1.4   85  -1     0     0 9   181   -261  9
13     1   1   2   9  0   80     4.0   -11.1    987.1     1.4   84  -1    29    30 9   182   -261  9
13     1   1   2  10  0  100     4.0   -10.2    987.0     1.4   79  -1    94    71 9   186   -265  9
13     1   1   2  11  0  100     5.0    -8.7    986.6     1.4   72  -1   152    89 9   192   -271  9
13     1   1   2  12  1   90     7.0    -7.7    986.0     1.4   65  -1   157   117 9   197   -276  9
13     1   1   2  13  2   90     7.0    -7.8    985.1     1.4   64  -1   127   133 9   198   -275  9
13     1   1   2  14  2   60     5.0    -7.7    984.7     1.4   62  -1    93   110 9   199   -276  9
13     1   1   2  15  2  100     6.0    -7.6    984.5     1.3   58  -1    43    66 9   199   -276  9
13     1   1   2  16  0  100     5.0    -8.1    984.8     1.3   61  -1     4     3 9   195   -274  9
13     1   1   2  17  0  110     4.0    -9.3    985.1     1.3   67  -1     0     0 9   189   -269  9
13     1   1   2  18  1   90     3.0   -10.7    985.2     1.2   72   0     0     0 9   183   -263  9
13     1   1   2  19  0   80     3.0   -11.1    985.2     1.3   76   0     0     0 9   182   -261  9
13     1   1   2  20  0   70     3.0   -11.4    985.6     1.3   78   0     0     0 9   181   -260  9
13     1   1   2  21  0   80     5.0   -10.9    985.4     1.3   79  10     0     0 9   183   -262  9
13     1   1   2  22  0   80     4.0   -11.4    985.0     1.3   80   0     0     0 9   181   -260  9
13     1   1   2  23  0   90     5.0   -11.7    984.7     1.3   80   0     0     0 9   179   -259  9
13     1   1   2  24  0   90     5.0   -11.8    984.5     1.2   79   0     0     0 9   179   -259  9
13     1   1   3   1  1  110     4.0   -11.9    984.6     1.2   78   0     0     0 9   178   -258  9
13     1   1   3   2  0  100     5.0   -11.9    984.1     1.2   79   0     0     0 9   178   -258  9
13     1   1   3   3  0  100     6.0   -11.7    983.9     1.2   75   0     0     0 9   179   -259  9
13     1   1   3   4  0   80     4.0   -11.8    983.5     1.2   75   0     0     0 9   179   -259  9
13     1   1   3   5  0   80     5.0   -11.6    983.3     1.2   73   0     0     0 9   180   -259  9
13     1   1   3   6  0   80     5.0   -11.1    983.0     1.2   72  -1     0     0 9   182   -261  9
13     1   1   3   7  0   70     6.0   -11.2    982.3     1.2   70  -1     0     0 9   181   -261  9
13     1   1   3   8  4   80     4.0   -11.4    982.7     1.2   72  -1     0     0 9   184   -260  9
13     1   1   3   9  4   80     6.0   -11.0    982.7     1.2   71  -1    14    40 9   185   -262  9
13     1   1   3  10  6   90     6.0   -10.7    982.5     1.2   69  -1    24    94 9   195   -264  9
13     1   1   3  11  7  100     6.0    -9.4    982.2     1.3   66  -1    19   109 9   223   -271  9
13     1   1   3  12  6  100     7.0    -8.2    981.4     1.3   61  -1    45   151 9   202   -274  9
13     1   1   3  13  3  100     8.0    -6.8    980.6     1.3   57  -1   107   149 9   204   -280  9
13     1   1   3  14  3   90     6.0    -6.0    980.1     1.4   55  -1    78   122 9   208   -283  9
13     1   1   3  15  2   90     6.0    -5.9    979.9     1.4   54  -1    44    67 9   206   -283  9
13     1   1   3  16  2   80     7.0    -6.2    979.8     1.4   56  -1     3     5 9   204   -282  9
13     1   1   3  17  2   90     8.0    -6.6    979.8     1.4   58  -1     0     0 9   203   -280  9
13     1   1   3  18  3   90     8.0    -6.6    979.9     1.3   56   0     0     0 9   202   -280  9
13     1   1   3  19  1  100     8.0    -6.8    979.8     1.3   56   0     0     0 9   200   -279  9
13     1   1   3  20  1  100     7.0    -7.0    979.9     1.3   58   0     0     0 9   200   -279  9
13     1   1   3  21  1   90     9.0    -7.4    979.4     1.4   62   0     0     0 9   198   -277  9
13     1   1   3  22  5   80     9.0    -7.6    979.0     1.4   63   0     0     0 9   201   -276  9
13     1   1   3  23  0   90     6.0    -7.3    979.5     1.4   63   0     0     0 9   198   -277  9
13     1   1   3  24  0   90     8.0    -6.9    979.0     1.5   63   0     0     0 9   200   -279  9
13     1   1   4   1  0   90     8.0    -6.8    979.0     1.5   63   0     0     0 9   200   -279  9
13     1   1   4   2  0   90     6.0    -6.9    979.0     1.5   65   0     0     0 9   200   -279  9
13     1   1   4   3  0   90     8.0    -7.1    978.9     1.5   65   0     0     0 9   199   -278  9
13     1   1   4   4  0  100     6.0    -7.0    978.8     1.5   64   0     0     0 9   200   -279  9
13     1   1   4   5  1  100     6.0    -7.3    978.5     1.5   65   0     0     0 9   198   -277  9
13     1   1   4   6  0   90     6.0    -7.4    978.1     1.5   65  -1     0     0 9   198   -277  9
13     1   1   4   7  0   90     6.0    -7.5    978.2     1.5   66  -1     0     0 9   197   -276  9
13     1   1   4   8  0  100     5.0    -7.4    978.4     1.4   65  -1     0     0 9   198   -277  9
13     1   1   4   9  0  100     6.0    -7.2    978.7     1.4   64  -1    29    30 9   199   -278  9
13     1   1   4  10  0  110     5.0    -6.4    979.2     1.5   62  -1    95    72 9   202   -281  9
13     1   1   4  11  0  110     6.0    -5.1    979.4     1.5   57  -1   154    89 9   208   -287  9
13     1   1   4  12  0  110     6.0    -3.6    978.7     1.5   52  -1   182    95 9   215   -293  9
13     1   1   4  13  0  110     6.0    -2.5    978.4     1.6   48  -1   172    93 9   221   -298  9
13     1   1   4  14  0  120     4.0    -1.3    978.6     1.6   46  -1   126    82 9   227   -304  9
13     1   1   4  15  0  120     4.0    -1.0    978.8     1.7   47  -1    60    54 9   228   -305  9
13     1   1   4  16  1  110     4.0    -1.4    979.0     1.7   49  -1     4     5 9   226   -303  9
13     1   1   4  17  0   80     3.0    -2.6    979.5     1.8   55  -1     0     0 9   220   -298  9
13     1   1   4  18  0   90     2.0    -4.8    979.9     1.8   65   0     0     0 9   210   -288  9
13     1   1   4  19  0   40     0.0    -5.2    980.1     1.8   68   0     0     0 9   208   -286  9
13     1   1   4  20  0  280     2.0    -9.5    981.7     1.6   85   0     0     0 9   189   -268  9
13     1   1   4  21  0  270     1.0   -10.3    982.6     1.6   87  10     0     0 9   185   -265  9
13     1   1   4  22  0  310     1.0   -10.7    983.4     1.5   89  10     0     0 9   183   -263  9
13     1   1   4  23  0  320     1.0   -11.6    983.7     1.4   86  10     0     0 9   180   -259  9
13     1   1   4  24  0    0     0.0   -11.3    984.1     1.5   91  10     0     0 9   181   -261  9
13     1   1   5   1  0    0     0.0   -12.0    984.8     1.4   89  10     0     0 9   178   -258  9
13     1   1   5   2  0    0     0.0   -13.1    985.2     1.3   89  10     0     0 9   174   -253  9
13     1   1   5   3  0  160     0.0   -12.6    986.2     1.4   92  10     0     0 9   176   -255  9
13     1   1   5   4  0  290     1.0   -14.3    986.1     1.1   88  10     0     0 9   169   -249  9
13     1   1   5   5  0  330     1.0   -13.9    986.4     1.2   92  10     0     0 9   170   -250  9
13     1   1   5   6  0   90     1.0   -13.0    986.6     1.3   93  10     0     0 9   174   -254  9
13     1   1   5   7  0    0     0.0   -13.5    987.1     1.3   94  10     0     0 9   172   -252  9
13     1   1   5   8  0    0     0.0   -14.2    987.2     1.2   91  10     0     0 9   169   -249  9
13     1   1   5   9  0  290     1.0   -14.6    988.2     1.1   88  10    29    31 9   168   -247  9
13     1   1   5  10  0    0     0.0   -11.8    988.3     1.5   93  10    95    72 9   179   -259  9
13     1   1   5  11  0  100     2.0    -8.3    988.2     1.9   90  10   154    90 9   194   -273  9
13     1   1   5  12  0    0     0.0    -5.6    988.1     2.1   83  10   183    96 9   206   -285  9
13     1   1   5  13  0  120     1.0    -2.8    987.7     2.2   71  -1   174    94 9   219   -297  9
13     1   1   5  14  1  110     1.0    -2.3    987.0     2.2   66  -1   112    99 9   222   -299  9
13     1   1   5  15  1  110     2.0    -0.9    987.2     2.1   58  -1    54    63 9   229   -306  9
13     1   1   5  16  1  130     0.0    -0.3    987.5     2.1   56  -1     5     6 9   232   -309  9
13     1   1   5  17  1   60     1.0    -2.8    987.5     2.1   66  -1     0     0 9   219   -297  9
13     1   1   5  18  1  100     2.0    -3.5    987.6     2.1   72   5     0     0 9   216   -294  9
13     1   1   5  19  2   80     1.0    -5.2    987.7     2.1   79  10     0     0 9   209   -286  9
13     1   1   5  20  2   90     1.0    -5.3    987.8     2.1   81  10     0     0 9   208   -286  9
13     1   1   5  21  2   90     1.0    -8.3    987.9     1.7   80  10     0     0 9   195   -273  9
13     1   1   5  22  0    0     0.0    -9.5    988.0     1.6   83  10     0     0 9   189   -268  9
13     1   1   5  23  3  100     1.0   -10.6    987.9     1.6   92  10     0     0 9   185   -264  9
13     1   1   5  24  3    0     0.0   -11.2    987.9     1.5   92  10     0     0 9   182   -261  9
13     1   1   6   1  4  320     0.0   -11.9    987.8     1.4   88  10     0     0 9   179   -258  9
13     1   1   6   2  5    0     0.0   -12.3    987.5     1.3   89  10     0     0 9   181   -257  9
13     1   1   6   3  6  230     0.0   -12.3    987.5     1.4   91  10     0     0 9   181   -257  9
13     1   1   6   4  6  110     1.0   -11.3    987.2     1.5   95  10     0     0 9   185   -261  9
13     1   1   6   5  5   90     1.0   -11.7    986.5     1.4   92  10     0     0 9   184   -259  9
13     1   1   6   6  0  110     1.0   -11.2    986.5     1.5   91  10     0     0 9   181   -261  9
13     1   1   6   7  1  100     1.0    -9.8    986.5     1.7   94  10     0     0 9   188   -267  9
13     1   1   6   8  7   90     2.0    -9.5    986.7     1.8   95  10     0     0 9   230   -271  9
13     1   1   6   9  7   90     1.0    -8.6    986.4     1.9   92  10     4    28 9   234   -275  9
13     1   1   6  10  7  100     2.0    -7.6    986.5     2.0   92  10    12    77 9   238   -279  9
13     1   1   6  11  7   90     1.0    -6.4    986.7     2.1   89  10    19   111 9   243   -284  9
13     1   1   6  12  8  100     1.0    -5.0    986.2     2.3   85  10     0    79 9   266   -291  9
13     1   1   6  13  8  110     1.0    -3.8    985.2     2.4   82  10     0    76 9   271   -297  9
13     1   1   6  14  8  100     2.0    -3.1    985.1     2.5   82  21     0    60 9   266   -299  9
13     1   1   6  15  8  100     2.0    -2.2    984.3     2.7   82  21     0    33 9   270   -303  9
13     1   1   6  16  8   90     2.0    -1.4    984.1     2.7   77  66     0     3 9   274   -307  9
13     1   1   6  17  8  100     2.0    -1.3    984.1     2.7   78  66     0     0 9   275   -307  9
13     1   1   6  18  7  100     2.0    -1.2    983.6     3.1   88  24     0     0 9   231   -305  9
13     1   1   6  19  7   90     2.0    -1.3    983.2     3.2   92  10     0     0 9   231   -304  9
13     1   1   6  20  8  130     1.0    -0.8    983.2     3.4   94  10     0     0 9   239   -307  9
13     1   1   6  21  8  100     1.0    -0.6    982.9     3.5   95  10     0     0 9   240   -308  9
13     1   1   6  22  8   90     2.0    -0.7    982.4     3.6   98  61     0     0 9   240   -307  9
13     1   1   6  23  8   90     2.0    -0.6    981.9     3.7   99  10     0     0 9   240   -308  9
13     1   1   6  24  8   90     1.0    -0.1    981.0     3.8   99  10     0     0 9   243   -310  9
13     1   1   7   1  8   90     1.0     0.2    980.3     3.9   99  10     0     0 9   244   -312  9
13     1   1   7   2  8  100     2.0     0.2    979.4     3.9   99  10     0     0 9   244   -312  9
13     1   1   7   3  8   60     0.0     0.5    979.2     4.0   99  10     0     0 9   246   -313  9
13     1   1   7   4  8  300     0.0     0.7    978.7     4.1   99  61     0     0 9   247   -314  9
13     1   1   7   5  8    0     0.0     0.7    978.1     4.1  100  61     0     0 9   247   -314  9
13     1   1   7   6  8    0     0.0     1.0    977.7     4.2  100  67     0     0 9   286   -318  9
13     1   1   7   7  8   40     0.0     2.0    977.2     4.5  100  66     0     0 9   291   -323  9
13     1   1   7   8  8  260     1.0     3.2    976.7     4.9  100  66     0     0 9   297   -328  9
13     1   1   7   9  8  250     1.0     3.6    976.7     5.0  100  63     0    17 9   299   -330  9
13     1   1   7  10  8  110     1.0     4.0    976.5     5.2  100  61     0    47 9   301   -332  9
13     1   1   7  11  8  270     3.0     5.3    977.0     5.7  100  63     0    69 9   308   -339  9
13     1   1   7  12  8  280     5.0     6.8    977.1     6.3  100  63     0    79 9   316   -346  9
13     1   1   7  13  8  280     5.0     6.5    976.9     6.2  100  61     0    76 9   315   -345  9
13     1   1   7  14  8  280     5.0     6.6    976.9     6.1   98  61     0    60 9   315   -345  9
13     1   1   7  15  7  280     5.0     6.5    976.8     6.2  100  61     8    56 9   314   -345  9
13     1   1   7  16  8  290     4.0     6.3    977.4     6.0   99  21     0     4 9   313   -344  9
13     1   1   7  17  8  280     2.0     4.7    977.6     5.4  100  21     0     0 9   305   -336  9
13     1   1   7  18  8  280     2.0     3.8    977.8     5.1  100  46     0     0 9   263   -329  9
13     1   1   7  19  8  260     1.0     4.5    977.8     5.4  100  44     0     0 9   267   -332  9
13     1   1   7  20  7  280     1.0     3.8    978.1     5.1  100  44     0     0 9   257   -328  9
13     1   1   7  21  8  290     0.0     3.6    977.8     5.0  100  44     0     0 9   262   -328  9
13     1   1   7  22  8    0     0.0     3.2    977.7     4.9  100  28     0     0 9   260   -326  9
13     1   1   7  23  8  100     0.0     3.2    977.4     4.9  100  21     0     0 9   260   -326  9
13     1   1   7  24  9    0     0.0     2.7    977.3     4.7  100  45     0     0 9   313   -327  9
13     1   1   8   1  9  350     1.0     3.2    977.0     4.9  100  45     0     0 9   316   -330  9
13     1   1   8   2  7   20     0.0     2.7    976.6     4.7  100  28     0     0 9   251   -323  9
13     1   1   8   3  8    0     0.0     2.9    976.7     4.8  100  44     0     0 9   258   -324  9
13     1   1   8   4  8    0     0.0     2.8    976.3     4.8  100  28     0     0 9   257   -324  9
13     1   1   8   5  8   80     1.0     2.8    976.0     4.8  100  44     0     0 9   257   -324  9
