RG    IS  MM  DD  HH  N   WR      WG       t       p        x   RF   W     B     D IK    A      E IL
***
 4     1   1   2   9  8  280     6.0     2.9   1015.0     4.5   97  -1     0    11 1   314   -328  9
 4     1   1   2  10  8  270     3.0     3.0   1015.2     4.4   95   2     0    44 1   315   -329  9
 4     1   1   2  11  8  260     5.0     3.4   1015.3     4.4   92  -1     0    83 1   317   -331  9
 4     1   1   2  12  8  250     5.0     3.5   1015.2     4.4   91  -1     0    89 1   317   -331  9
 4     1   1   2  13  8  250     4.0     3.3   1015.2     4.2   89   2     0    81 1   316   -330  9
 4     1   1   2  14  8  260     5.0     3.5   1015.3     4.3   89  -1     0    44 1   317   -331  9
 4     1   1   2  15  8  270     4.0     3.5   1015.7     4.3   90  -1     0    25 1   317   -331  9
 4     1   1   2  16  8  250     5.0     3.7   1015.3     4.4   90  -1     0    17 1   318   -332  9
 4     1   1   2  17  8  240     5.0     3.5   1014.9     4.4   92  -1     0     0 1   317   -331  9
 4     1   1   2  18  3  230     6.0     2.9   1014.4     4.2   90  -1     0     0 1   254   -324  9
 4     1   1   2  19  7  230     6.0     3.6   1014.1     4.3   89  -1     0     0 1   299   -330  9
 4     1   1   2  20  8  210     6.0     3.8   1014.0     4.2   86  -1     0     0 1   319   -333  9
 4     1   1   2  21  8  220     5.0     3.6   1013.9     4.3   89  21     0     0 1   318   -332  9
 4     1   1   2  22  8  230     5.0     3.6   1014.0     4.3   88   2     0     0 1   318   -332  9
 4     1   1   2  23  8  230     5.0     3.9   1014.1     4.4   88  -1     0     0 1   319   -333  9
 4     1   1   2  24  8  240     5.0     3.9   1013.9     4.4   89  -1     0     0 1   319   -333  9
 4     1   1   3   1  7  230     5.0     3.9   1013.6     4.5   90   1     0     0 1   301   -332  9
 4     1   1   3   2  8  230     4.0     3.9   1013.3     4.5   91  -1     0     0 1   301   -332  9
 4     1   1   3   3  8  230     4.0     4.0   1013.3     4.5   91  -1     0     0 1   320   -334  9
 4     1   1   3   4  8  230     5.0     4.0   1012.9     4.5   91  -1     0     0 1   320   -334  9
 4     1   1   3   5  8  230     6.0     4.1   1012.8     4.6   91  -1     0     0 1   320   -334  9
 4     1   1   3   6  8  230     5.0     4.3   1012.3     4.6   90  -1     0     0 1   321   -335  9
