TRY06   Nördliche und westliche Mittelgebirge, Randgebiete                 (Klimaregion  6)
Station: Bad Marienberg                  WMO-Nummer: 10526
Lage: 50°40'N <- B.   7°58'O <- L.   547 Meter über NN
Zeitpunkt der Erstellung: November 2010

Art des TRY    : extremer Winter
Bezugszeitraum : 2021-2050
Stadteffekt    : -----
Höhenkorrektur : -----

Datenbasis 1: Beobachtungsdaten Zeitraum 1988-2007
Datenbasis 2: Klimasimulationen Zeitraum 1971-2000 (Basis SRES-20C / ECHAM5-OM Lauf 1 / CLM; REMO-UBA; STAR2; WETTREG2006 und WETTREG2010)
Datenbasis 3: Klimasimulationen Zeitraum 2021-2050 (Basis SRES-A1B / ECHAM5-OM Lauf 1 / CLM; REMO-UBA; STAR2; WETTREG2006 und WETTREG2010)

Format: (i2,2x,i4,2x,i2,2x,i2,2x,i2,2x,i1,2x,i3,2x,f6.1,2x,f6.1,2x,f7.1,2x,f6.1,2x,i3,2x,i2,2x,i4,2x,i4,1x,i1,2x,i4,2x,i5,2x,i1)

Reihenfolge der Parameter:
RG TRY-Region                                                           {1..15}
IS Standortinformation                                                  {1,2}
MM Monat                                                                {1..12}
DD Tag                                                                  {1..28,30,31}
HH Stunde (MEZ)                                                         {1..24}
N  Bedeckungsgrad                                              [Achtel] {0..8;9}
WR Windrichtung in 10 m Höhe über Grund                        [°]      {0;10..360;999}
WG Windgeschwindigkeit in 10 m Höhe über Grund                 [m/s]
t  Lufttemperatur in 2m Höhe über Grund                        [°C]
p  Luftdruck in Stationshöhe                                   [hPa]
x  Wasserdampfgehalt, Mischungsverhältnis                      [g/kg]
RF Relative Feuchte in 2 m Höhe über Grund                     [%]      {1..100}
W  Wetterereignis der aktuellen Stunde                                  {0..99}
B  Direkte Sonnenbestrahlungsstärke (horiz. Ebene)             [W/m²]   abwärts gerichtet: positiv
D  Difuse Sonnenbetrahlungsstärke (horiz. Ebene)               [W/m²]   abwärts gerichtet: positiv
IK Information, ob B und oder D Messwert/Rechenwert                     {1;2;3;4;9}
A  Bestrahlungsstärke d. atm. Wärmestrahlung (horiz. Ebene)    [W/m²]   abwärts gerichtet: positiv
E  Bestrahlungsstärke d. terr. Wärmestrahlung                  [W/m²]   aufwärts gerichtet: negativ
IL Qualitätsbit für die langwelligen Strahlungsgrößen                   {1;2;3;4;5;6;7;8;9}


RG    IS  MM  DD  HH  N   WR      WG       t       p        x   RF   W     B     D IK    A      E IL
***
 6     1   1   1   1  8  220     2.1     5.1    953.4     5.3  100  58     0     0 9   305   -333  9
 6     1   1   1   2  8  260     2.2     4.8    955.5     5.6  100  21     0     0 9   309   -336  9
 6     1   1   1   3  8  300     2.6     4.5    957.1     5.6  100  21     0     0 9   309   -336  9
 6     1   1   1   4  8  290     2.9     4.4    957.4     5.5  100  21     0     0 9   323   -337  9
 6     1   1   1   5  8  280     2.9     4.0    957.6     5.3  100   0     0     0 9   320   -334  9
 6     1   1   1   6  8  290     2.0     3.1    957.8     5.0  100  10     0     0 9   297   -328  9
 6     1   1   1   7  7  280     2.0     3.0    958.2     4.9  100  10     0     0 9   296   -327  9
 6     1   1   1   8  7  260     2.0     2.9    958.2     4.9  100  10     0     0 9   296   -327  9
 6     1   1   1   9  7  270     2.0     2.7    958.6     4.8  100  10     1     4 9   295   -326  9
 6     1   1   1  10  7  240     1.0     2.8    958.6     4.8  100  10     7    47 9   295   -326  9
 6     1   1   1  11  7  190     2.0     2.9    958.3     4.9  100  10    13    83 9   296   -327  9
 6     1   1   1  12  7  190     2.0     3.2    958.1     5.0  100  10    18   102 9   297   -328  9
 6     1   1   1  13  7  210     3.0     3.6    957.3     5.1  100  -1    18   102 9   299   -330  9
 6     1   1   1  14  7  200     3.0     3.9    956.5     5.2  100  10    14    84 9   301   -332  9
 6     1   1   1  15  8  200     3.0     4.0    955.9     5.3   99  10     0    30 9   301   -332  9
 6     1   1   1  16  8  200     5.0     4.0    955.3     5.3   99  -1     0     3 9   301   -332  9
 6     1   1   1  17  8  200     5.0     3.8    954.8     5.2   99  20     0     0 9   300   -331  9
 6     1   1   1  18  8  200     4.0     3.7    954.3     5.1   99  -1     0     0 9   300   -331  9
 6     1   1   1  19  8  200     5.0     3.7    953.7     5.2  100   2     0     0 9   300   -331  9
 6     1   1   1  20  8  190     4.0     3.8    952.8     5.2  100  -1     0     0 9   300   -331  9
 6     1   1   1  21  8  190     4.0     4.0    951.8     5.2   98  -1     0     0 9   301   -332  9
 6     1   1   1  22  8  190     7.0     4.3    950.9     5.3   98  -1     0     0 9   303   -334  9
 6     1   1   1  23  8  190     6.0     4.7    949.9     5.5   99  61     0     0 9   308   -336  9
 6     1   1   1  24  8  210     7.0     5.5    948.9     5.9  100  58     0     0 9   312   -340  9
 6     1   1   2   1  8  210     7.0     6.2    948.0     6.2  100  21     0     0 9   315   -343  9
