TRY15   Alpenrand und -täler                                               (Klimaregion 15)
Station: Garmisch-Partenkirchen          WMO-Nummer: 10963
Lage: 47°29'N <- B.  11°04'O <- L.   719 Meter über NN
Zeitpunkt der Erstellung: November 2010

Art des TRY    : extremer Sommer
Bezugszeitraum : 2021-2050
Stadteffekt    : -----
Höhenkorrektur : -----

Datenbasis 1: Beobachtungsdaten Zeitraum 1988-2007
Datenbasis 2: Klimasimulationen Zeitraum 1971-2000 (Basis SRES-20C / ECHAM5-OM Lauf 1 / CLM; REMO-UBA; STAR2; WETTREG2006 und WETTREG2010)
Datenbasis 3: Klimasimulationen Zeitraum 2021-2050 (Basis SRES-A1B / ECHAM5-OM Lauf 1 / CLM; REMO-UBA; STAR2; WETTREG2006 und WETTREG2010)

Format: (i2,2x,i4,2x,i2,2x,i2,2x,i2,2x,i1,2x,i3,2x,f6.1,2x,f6.1,2x,f7.1,2x,f6.1,2x,i3,2x,i2,2x,i4,2x,i4,1x,i1,2x,i4,2x,i5,2x,i1)

Reihenfolge der Parameter:
RG TRY-Region                                                           {1..15}
IS Standortinformation                                                  {1,2}
MM Monat                                                                {1..12}
DD Tag                                                                  {1..28,30,31}
HH Stunde (MEZ)                                                         {1..24}
N  Bedeckungsgrad                                              [Achtel] {0..8;9}
WR Windrichtung in 10 m Höhe über Grund                        [°]      {0;10..360;999}
WG Windgeschwindigkeit in 10 m Höhe über Grund                 [m/s]
t  Lufttemperatur in 2m Höhe über Grund                        [°C]
p  Luftdruck in Stationshöhe                                   [hPa]
x  Wasserdampfgehalt, Mischungsverhältnis                      [g/kg]
RF Relative Feuchte in 2 m Höhe über Grund                     [%]      {1..100}
W  Wetterereignis der aktuellen Stunde                                  {0..99}
B  Direkte Sonnenbestrahlungsstärke (horiz. Ebene)             [W/m²]   abwärts gerichtet: positiv
D  Difuse Sonnenbetrahlungsstärke (horiz. Ebene)               [W/m²]   abwärts gerichtet: positiv
IK Information, ob B und oder D Messwert/Rechenwert                     {1;2;3;4;9}
A  Bestrahlungsstärke d. atm. Wärmestrahlung (horiz. Ebene)    [W/m²]   abwärts gerichtet: positiv
E  Bestrahlungsstärke d. terr. Wärmestrahlung                  [W/m²]   aufwärts gerichtet: negativ
IL Qualitätsbit für die langwelligen Strahlungsgrößen                   {1;2;3;4;5;6;7;8;9}


RG    IS  MM  DD  HH  N   WR      WG       t       p        x   RF   W     B     D IK    A      E IL
***
15     1   1   1   1  5    0     0.3    -7.0    943.7     2.4   98  28     0     0 9   204   -279  9
15     1   1   1   2  5  200     0.4    -7.5    942.9     2.2   96  10     0     0 9   202   -278  9
15     1   1   1   3  5  240     0.5    -8.2    942.3     2.1   96  10     0     0 9   200   -275  9
15     1   1   1   4  5  220     0.6    -8.8    942.7     2.0   95  10     0     0 9   195   -271  9
15     1   1   1   5  6    0     0.7    -9.3    943.1     1.7   92  10     0     0 9   190   -266  9
15     1   1   1   6  8  240     1.0    -9.8    943.6     1.8   94  10     0     0 9   255   -271  9
15     1   1   1   7  8  240     1.0    -9.1    944.1     1.9   95  10     0     0 9   258   -274  9
15     1   1   1   8  9  230     1.0    -9.0    944.4     2.0   96  47     0     0 9   258   -275  9
15     1   1   1   9  8  250     2.0    -9.0    944.9     2.0   96  28     0    16 9   258   -275  9
15     1   1   1  10  8  190     1.0    -8.8    945.4     2.0   95  10     0    48 9   259   -276  9
15     1   1   1  11  8  230     1.0    -7.8    945.5     2.1   95  10     0    70 9   263   -280  9
15     1   1   1  12  8    0     0.0    -6.9    945.3     2.3   95  78     0    81 9   268   -284  9
15     1   1   1  13  8  130     1.0    -6.5    945.3     2.3   95  78     0    79 9   269   -285  9
15     1   1   1  14  8  130     1.0    -6.4    945.2     2.3   93  10     0    63 9   270   -286  9
15     1   1   1  15  7  200     1.0    -6.4    945.7     2.3   92  10     9    61 9   251   -285  9
15     1   1   1  16  6  250     0.0    -6.2    946.2     2.3   91  10     2    11 9   236   -284  9
15     1   1   1  17  6    0     0.0    -6.3    946.8     2.3   90  10     0     0 9   236   -284  9
15     1   1   1  18  7  210     1.0    -6.7    946.9     2.3   93   0     0     0 9   205   -280  9
15     1   1   1  19  7  210     1.0    -6.8    946.9     2.2   92  10     0     0 9   249   -283  9
15     1   1   1  20  6    0     0.0    -7.3    947.0     2.1   92  10     0     0 9   202   -278  9
15     1   1   1  21  4    0     0.0    -7.7    947.0     2.0   90  10     0     0 9   197   -276  9
15     1   1   1  22  3  270     1.0    -9.5    947.4     1.8   91  10     0     0 9   194   -268  9
15     1   1   1  23  0  240     1.0   -11.0    947.0     1.6   92  10     0     0 9   182   -262  9
15     1   1   1  24  0  220     1.0   -11.9    946.8     1.5   91  10     0     0 9   178   -258  9
15     1   1   2   1  0  210     1.0   -12.7    946.7     1.4   91  10     0     0 9   175   -255  9
15     1   1   2   2  0    0     0.0   -13.1    946.6     1.3   91  10     0     0 9   174   -253  9
15     1   1   2   3  0  210     1.0   -13.7    946.8     1.3   90  10     0     0 9   171   -251  9
15     1   1   2   4  0  230     1.0   -13.7    946.7     1.3   92  10     0     0 9   171   -251  9
15     1   1   2   5  0  200     0.0   -14.2    946.3     1.2   91   0     0     0 9   169   -249  9
15     1   1   2   6  0    0     0.0   -14.8    946.2     1.1   89  -1     0     0 9   167   -247  9
15     1   1   2   7  0    0     0.0   -15.1    946.0     1.1   89  -1     0     0 9   166   -245  9
15     1   1   2   8  0    0     0.0   -15.1    946.3     1.1   89  -1     0     0 9   166   -245  9
15     1   1   2   9  0    0     0.0   -15.4    946.4     1.1   90  10    30    29 9   165   -244  9
15     1   1   2  10  0    0     0.0   -14.4    946.2     1.2   90  10   100    70 9   168   -248  9
15     1   1   2  11  6  110     1.0   -12.3    946.3     1.5   94  10    41   139 9   209   -259  9
15     1   1   2  12  7  190     1.0   -11.0    945.5     1.6   92  71    25   129 9   230   -265  9
15     1   1   2  13  7  130     1.0   -10.0    944.9     1.7   92  71    24   126 9   235   -269  9
15     1   1   2  14  7  130     1.0    -9.4    944.0     1.8   91  71    18   103 9   237   -272  9
15     1   1   2  15  7   70     2.0    -9.4    943.8     1.7   87  71     9    62 9   237   -272  9
15     1   1   2  16  6  100     2.0    -9.5    944.1     1.7   85  71     3    12 9   221   -270  9
15     1   1   2  17  7   70     2.0   -10.2    944.4     1.6   85  78     0     0 9   234   -268  9
15     1   1   2  18  7   80     2.0   -10.4    944.6     1.5   80  22     0     0 9   189   -265  9
15     1   1   2  19  6  100     1.0   -10.5    944.5     1.5   83   2     0     0 9   217   -266  9
15     1   1   2  20  6   90     1.0   -10.6    944.6     1.5   84  78     0     0 9   188   -264  9
15     1   1   2  21  6   70     1.0   -10.6    944.3     1.5   86  78     0     0 9   188   -264  9
15     1   1   2  22  6   70     1.0   -11.0    944.1     1.5   84  -1     0     0 9   215   -264  9
15     1   1   2  23  5  230     1.0   -11.1    943.7     1.5   85  29     0     0 9   186   -262  9
15     1   1   2  24  6  200     0.0   -12.4    943.5     1.4   88  10     0     0 9   181   -256  9
15     1   1   3   1  8  210     1.0   -13.6    943.3     1.3   90  10     0     0 9   182   -252  9
15     1   1   3   2  8    0     0.0   -14.3    943.1     1.2   89   0     0     0 9   179   -249  9
15     1   1   3   3  7  190     1.0   -13.3    942.7     1.3   91  78     0     0 9   177   -253  9
15     1   1   3   4  7  200     1.0   -12.5    942.1     1.4   89  22     0     0 9   180   -256  9
15     1   1   3   5  8  290     0.0   -12.9    942.3     1.3   88   0     0     0 9   185   -255  9
15     1   1   3   6  0  240     0.0   -13.5    941.9     1.3   90  -1     0     0 9   172   -252  9
15     1   1   3   7  0  300     1.0   -14.2    941.6     1.2   90  -1     0     0 9   169   -249  9
15     1   1   3   8  3  230     1.0   -15.0    941.9     1.1   88  -1     0     0 9   168   -246  9
15     1   1   3   9  5  210     1.0   -14.4    941.6     1.2   90  -1    11    38 9   178   -249  9
15     1   1   3  10  6  230     1.0   -13.2    941.6     1.3   90  -1    25    97 9   202   -255  9
15     1   1   3  11  5  130     1.0   -11.6    941.2     1.5   89  -1    62   151 9   186   -260  9
15     1   1   3  12  6  110     1.0   -10.6    940.5     1.5   84  -1    50   159 9   208   -265  9
15     1   1   3  13  7  110     1.0   -10.9    940.0     1.4   82  -1    24   127 9   193   -263  9
15     1   1   3  14  7   60     2.0   -10.2    939.8     1.5   81  -1    18   104 9   220   -268  9
15     1   1   3  15  6   90     1.0    -9.2    939.8     1.7   82  -1    19    78 9   197   -270  9
15     1   1   3  16  3  110     1.0    -9.7    940.7     1.6   82  -1     7    15 9   189   -267  9
15     1   1   3  17  0    0     0.0   -10.6    940.7     1.5   84  -1     0     0 9   184   -263  9
15     1   1   3  18  1    0     0.0   -12.3    940.8     1.4   90  10     0     0 9   177   -257  9
15     1   1   3  19  3  260     1.0   -13.1    940.5     1.3   91  10     0     0 9   175   -253  9
15     1   1   3  20  3  200     1.0   -13.4    940.2     1.3   90  10     0     0 9   173   -252  9
15     1   1   3  21  2  210     0.0   -13.4    940.2     1.3   90  10     0     0 9   173   -252  9
15     1   1   3  22  5  200     1.0   -13.8    939.9     1.3   90  10     0     0 9   175   -251  9
15     1   1   3  23  2  210     1.0   -13.9    939.9     1.3   91  10     0     0 9   171   -250  9
15     1   1   3  24  2    0     0.0   -13.9    939.5     1.3   90  10     0     0 9   171   -250  9
15     1   1   4   1  2    0     0.0   -14.2    939.9     1.2   90  10     0     0 9   170   -249  9
15     1   1   4   2  2    0     0.0   -14.6    939.7     1.2   90  10     0     0 9   169   -247  9
15     1   1   4   3  1  220     1.0   -15.0    939.7     1.1   90  10     0     0 9   166   -246  9
15     1   1   4   4  1  220     1.0   -15.3    939.6     1.1   91   0     0     0 9   165   -245  9
15     1   1   4   5  2  230     1.0   -15.3    939.4     1.1   90   0     0     0 9   166   -245  9
15     1   1   4   6  0  230     1.0   -15.5    939.8     1.1   90  -1     0     0 9   164   -244  9
15     1   1   4   7  0  200     1.0   -15.8    940.1     1.1   90  -1     0     0 9   163   -243  9
15     1   1   4   8  0  310     0.0   -15.6    940.0     1.1   88  -1     0     0 9   164   -244  9
15     1   1   4   9  0  240     1.0   -15.5    941.1     1.1   88  -1    30    29 9   164   -244  9
15     1   1   4  10  0  240     1.0   -14.4    941.1     1.2   90  -1   101    71 9   168   -248  9
15     1   1   4  11  0    0     0.0   -13.1    940.8     1.4   91  -1   166    88 9   174   -253  9
15     1   1   4  12  0  190     1.0   -10.6    940.5     1.6   91  -1   200    94 9   184   -263  9
15     1   1   4  13  0  180     1.0    -8.1    939.9     1.9   88  -1   193    93 9   195   -274  9
15     1   1   4  14  0  100     1.0    -6.5    939.9     2.1   84  -1   148    84 9   202   -281  9
