TRY02   Ostseeküste                                                        (Klimaregion  2)
Station: Rostock                         WMO-Nummer: 10170
Lage: 54°11'N <- B.  12°05'O <- L.     4 Meter über NN
Zeitpunkt der Erstellung: November 2010

Art des TRY    : mittleres Jahr
Bezugszeitraum : 2021-2050
Stadteffekt    : -----
Höhenkorrektur : -----

Datenbasis 1: Beobachtungsdaten Zeitraum 1988-2007
Datenbasis 2: Klimasimulationen Zeitraum 1971-2000 (Basis SRES-20C / ECHAM5-OM Lauf 1 / CLM; REMO-UBA; STAR2; WETTREG2006 und WETTREG2010)
Datenbasis 3: Klimasimulationen Zeitraum 2021-2050 (Basis SRES-A1B / ECHAM5-OM Lauf 1 / CLM; REMO-UBA; STAR2; WETTREG2006 und WETTREG2010)

Format: (i2,2x,i4,2x,i2,2x,i2,2x,i2,2x,i1,2x,i3,2x,f6.1,2x,f6.1,2x,f7.1,2x,f6.1,2x,i3,2x,i2,2x,i4,2x,i4,1x,i1,2x,i4,2x,i5,2x,i1)

Reihenfolge der Parameter:
RG TRY-Region                                                           {1..15}
IS Standortinformation                                                  {1,2}
MM Monat                                                                {1..12}
DD Tag                                                                  {1..28,30,31}
HH Stunde (MEZ)                                                         {1..24}
N  Bedeckungsgrad                                              [Achtel] {0..8;9}
WR Windrichtung in 10 m Höhe über Grund                        [°]      {0;10..360;999}
WG Windgeschwindigkeit in 10 m Höhe über Grund                 [m/s]
t  Lufttemperatur in 2m Höhe über Grund                        [°C]
p  Luftdruck in Stationshöhe                                   [hPa]
x  Wasserdampfgehalt, Mischungsverhältnis                      [g/kg]
RF Relative Feuchte in 2 m Höhe über Grund                     [%]      {1..100}
W  Wetterereignis der aktuellen Stunde                                  {0..99}
B  Direkte Sonnenbestrahlungsstärke (horiz. Ebene)             [W/m²]   abwärts gerichtet: positiv
D  Difuse Sonnenbetrahlungsstärke (horiz. Ebene)               [W/m²]   abwärts gerichtet: positiv
IK Information, ob B und oder D Messwert/Rechenwert                     {1;2;3;4;9}
A  Bestrahlungsstärke d. atm. Wärmestrahlung (horiz. Ebene)    [W/m²]   abwärts gerichtet: positiv
E  Bestrahlungsstärke d. terr. Wärmestrahlung                  [W/m²]   aufwärts gerichtet: negativ
IL Qualitätsbit für die langwelligen Strahlungsgrößen                   {1;2;3;4;5;6;7;8;9}


RG    IS  MM  DD  HH  N   WR      WG       t       p        x   RF   W     B     D IK    A      E IL
***
 2     1   1   1   1  3  140     5.8     2.2   1015.1     3.2   87  -1     0     0 1   232   -309  9
 2     1   1   1   2  1  140     4.9     0.6   1014.7     3.2   88  -1     0     0 1   231   -308  9
 2     1   1   1   3  0  140     4.1    -0.8   1014.3     3.1   88  -1     0     0 1   230   -307  9
 2     1   1   1   4  1  120     3.3    -1.0   1014.2     3.0   88  -1     0     0 1   228   -305  9
 2     1   1   1   5  3  110     2.8    -1.3   1014.1     3.0   89  10     0     0 1   226   -303  9
 2     1   1   1   6  8  140     3.0    -1.6   1014.0     3.0   89  10     0     0 1   292   -307  9
 2     1   1   1   7  8  140     3.0    -1.6   1014.0     3.0   90  10     0     0 1   292   -307  9
 2     1   1   1   8  8  130     3.0    -1.8   1013.7     3.0   91  10     0     0 1   291   -306  9
 2     1   1   1   9  8  140     3.0    -1.8   1014.0     3.0   91  10     0    11 1   291   -306  9
 2     1   1   1  10  8  130     2.0    -1.6   1014.3     3.0   90  10     0    47 1   292   -307  9
 2     1   1   1  11  8  120     2.0    -1.2   1014.0     3.1   90  10     3   100 1   294   -309  9
 2     1   1   1  12  6  140     3.0    -0.9   1013.6     3.1   88  10    22    94 1   247   -307  9
 2     1   1   1  13  8  140     3.0    -0.5   1013.4     3.1   87  10    39    97 1   298   -312  9
 2     1   1   1  14  8  130     2.0    -0.1   1013.2     3.2   85  10    11    75 1   300   -314  9
 2     1   1   1  15  6  130     2.0    -0.4   1013.1     3.1   84  10     6    53 1   239   -309  9
 2     1   1   1  16  8  130     2.0    -0.7   1013.4     3.1   86  10     0     6 1   297   -311  9
 2     1   1   1  17  8  130     2.0    -1.2   1013.3     3.0   87  10     0     0 1   294   -309  9
 2     1   1   1  18  5  130     1.0    -1.6   1013.2     2.9   88  10     0     0 1   237   -303  9
 2     1   1   1  19  5  130     1.0    -1.9   1013.1     2.9   89  10     0     0 1   236   -302  9
 2     1   1   1  20  5  110     2.0    -1.8   1012.7     3.0   91  10     0     0 1   236   -302  9
 2     1   1   1  21  0  140     2.0    -1.9   1012.6     2.9   90  10     0     0 1   224   -301  9
 2     1   1   1  22  0  130     2.0    -2.0   1012.4     3.0   91  10     0     0 1   223   -301  9
 2     1   1   1  23  3  140     2.0    -2.0   1012.5     3.0   91  10     0     0 1   228   -301  9
 2     1   1   1  24  3  140     3.0    -1.8   1012.3     3.0   92  10     0     0 1   229   -302  9
