RG    IS  MM  DD  HH  N   WR      WG       t       p        x   RF   W     B     D IK    A      E IL
***
11     1   1   2   9  9  190    13.0    -1.2    864.3     4.0   99  73     3     6 1   294   -309  9
11     1   1   2  10  9  200    16.0    -1.3    863.7     4.0   99  75     0    19 1   294   -309  9
11     1   1   2  11  9  220    18.0    -0.5    863.6     4.2   99  73     0    31 1   298   -312  9
11     1   1   2  12  9  210    17.0    -0.5    863.1     4.2   99  71     0    39 1   298   -312  9
11     1   1   2  13  9  220    14.0    -0.4    862.8     4.2   99  71     3    53 1   298   -313  9
11     1   1   2  14  9  220    12.0    -0.1    861.8     4.4  100  71     8    56 1   300   -314  9
11     1   1   2  15  9  200    10.0    -0.1    861.9     4.4  100  71     3     8 1   300   -314  9
11     1   1   2  16  9  200    10.0     0.0    862.0     4.4   99  71     0     3 1   300   -315  9
11     1   1   2  17  9  200    11.0     0.1    862.0     4.4  100  70     0     0 1   301   -315  9
11     1   1   2  18  9  190    11.0     0.6    861.5     4.6   99  45     0     0 1   303   -317  9
11     1   1   2  19  7  180    10.0     0.7    861.4     4.6   99  41     0     0 1   285   -317  9
11     1   1   2  20  9  180    12.0     0.3    861.5     4.4   99  71     0     0 1   302   -316  9
11     1   1   2  21  9  180     9.0     0.3    861.6     4.4   99  45     0     0 1   302   -316  9
11     1   1   2  22  7  200    15.0     0.5    861.5     4.5   99  28     0     0 1   284   -316  9
11     1   1   2  23  8  210    18.0     0.7    861.9     4.6   99  60     0     0 1   285   -317  9
11     1   1   2  24  9  230    15.0    -0.1    862.8     4.4  100  49     0     0 1   300   -314  9
11     1   1   3   1  9  220    17.0    -0.3    863.0     4.3  100  49     0     0 1   299   -313  9
11     1   1   3   2  9  220    17.0    -0.2    863.0     4.3   99  49     0     0 1   299   -314  9
11     1   1   3   3  9  240    19.0    -0.4    863.4     4.2   99  49     0     0 1   298   -313  9
11     1   1   3   4  9  250    18.0    -0.4    863.9     4.2   99  71     0     0 1   298   -313  9
11     1   1   3   5  8  250    21.0    -0.6    864.0     4.2  100  28     0     0 1   278   -310  9
11     1   1   3   6  8  250    19.0    -1.1    864.8     4.0   99  -1     0     0 1   276   -308  9
11     1   1   3   7  9  240    18.0    -1.2    865.6     4.0   99  71     0     0 1   294   -309  9
11     1   1   3   8  9  250    15.0    -1.1    866.0     4.0   99  49     0     0 1   295   -310  9
11     1   1   3   9  9  240    15.0    -1.0    866.6     4.1  100  70     0     6 1   295   -310  9
11     1   1   3  10  9  230    16.0    -1.1    866.6     4.0   99  49     0    17 1   295   -310  9
11     1   1   3  11  9  240    17.0    -1.1    866.6     4.0   99  49     3    31 1   295   -310  9
11     1   1   3  12  9  230    17.0    -1.1    866.1     4.0   99  70     3    50 1   295   -310  9
11     1   1   3  13  9  230    15.0    -0.9    865.3     4.1   99  49     6    47 1   296   -310  9
11     1   1   3  14  8  210    14.0    -0.9    864.5     4.1   99  41     6    39 1   277   -309  9
11     1   1   3  15  8  200    14.0    -0.9    863.3     4.1   99  28     3    22 1   277   -309  9
11     1   1   3  16  8  200    19.0    -0.8    862.0     4.1   99  87     0     6 1   277   -310  9
11     1   1   3  17  9  210    19.0    -0.8    861.3     4.1   99  73     0     0 1   296   -311  9
11     1   1   3  18  9  200    19.0    -0.5    860.3     4.2   99  56     0     0 1   298   -312  9
11     1   1   3  19  9  210    17.0     0.0    859.8     4.4   99  63     0     0 1   300   -315  9
11     1   1   3  20  9  220    19.0     0.7    859.3     4.6   99  65     0     0 1   304   -318  9
11     1   1   3  21  9  220    17.0     1.1    859.0     4.7   99  63     0     0 1   305   -320  9
