12;12;50;100;35;60;60;40;9;12;60;60;20;20;60;12;;;;;;;;;;;;;;;;;;;;;;
60;60;60;60;70;100;9;40;65;20;60;60;50;9;60;40;60;40;;;;;;;;;;;;;;;;;;;;
60;60;60;60;40;35;60;60;65;9;35;60;60;100;60;60;60;60;40;100;40;60;12;60;40;50;60;;;;;;;;;;;
60;61;125;100;100;40;100;60;70;100;35;12;100;60;60;60;40;40;60;60;60;100;60;60;20;100;100;50;;;;;;;;;;
9;60;500;9;56;70;50;60;60;60;60;20;35;100;35;40;60;40;60;60;40;;;;;;;;;;;;;;;;;
60;40;85;85;20;100;40;500;100;20;12;35;20;60;50;60;60;60;12;9;35;40;35;60;50;60;60;60;35;100;;;;;;;;
100;60;9;100;100;12;100;40;60;60;20;20;65;75;40;60;12;100;60;100;100;35;;;;;;;;;;;;;;;;
50;60;100;40;100;40;9;12;20;150;85;20;60;40;40;60;20;20;60;40;20;100;40;;;;;;;;;;;;;;;
70;60;60;60;100;40;60;60;60;40;40;20;500;60;60;40;60;40;60;100;35;60;60;40;60;60;;;;;;;;;;;;
55;9;100;12;100;100;20;40;60;65;12;60;50;60;12;60;12;100;20;35;50;60;40;60;60;9;60;100;12;60;;;;;;;;
150;55;9;100;40;100;60;60;60;40;100;60;60;60;60;60;9;100;60;60;60;50;60;20;19;100;;;;;;;;;;;;
20;60;60;40;12;70;20;60;60;40;100;75;40;60;20;60;20;50;100;60;60;60;40;100;12;35;;;;;;;;;;;;
55;60;60;40;100;60;500;20;60;40;12;50;60;150;60;100;35;60;60;3;100;100;35;100;;;;;;;;;;;;;;
60;40;70;100;40;60;12;105;60;100;40;60;100;60;40;9;40;60;65;60;12;26;;;;;;;;;;;;;;;;
60;40;60;12;40;100;60;40;60;40;60;40;60;205;60;35;40;60;300;20;20;;;;;;;;;;;;;;;;;
60;100;12;60;105;50;50;100;100;60;100;35;12;40;100;50;20;100;60;100;100;60;60;;;;;;;;;;;;;;;
40;60;60;60;40;60;35;170;40;12;100;50;20;60;12;40;60;40;;;;;;;;;;;;;;;;;;;;
100;60;125;60;40;87;100;60;85;60;60;12;20;35;20;40;40;60;40;35;75;60;100;60;60;40;;;;;;;;;;;;
60;40;40;40;70;70;40;40;60;60;60;35;50;100;60;100;60;20;100;12;60;100;40;60;40;;;;;;;;;;;;;
100;40;40;40;60;20;70;20;60;20;9;60;60;35;50;40;50;40;40;;;;;;;;;;;;;;;;;;;
40;35;40;60;500;9;40;60;60;40;50;60;60;60;60;5;60;60;35;100;60;60;50;40;40;50;;;;;;;;;;;;
85;100;57;40;12;40;60;60;100;100;12;60;60;50;20;21;50;100;60;40;60;;;;;;;;;;;;;;;;;
40;100;60;9;60;40;40;20;100;100;100;100;60;300;40;100;60;100;60;20;;;;;;;;;;;;;;;;;;
70;40;40;65;60;12;60;100;40;50;50;40;500;60;60;40;40;100;60;60;;;;;;;;;;;;;;;;;;
20;40;40;60;50;60;100;60;100;50;60;40;40;150;40;60;100;60;40;40;35;60;20;20;100;;;;;;;;;;;;;
60;40;40;43;60;40;20;40;60;55;40;100;35;20;75;60;60;40;40;12;20;40;40;60;60;60;20;9;;;;;;;;;;
12;40;20;60;50;40;58;105;60;65;60;40;100;60;50;40;60;60;;;;;;;;;;;;;;;;;;;;
40;100;50;60;50;35;60;12;20;60;60;75;100;60;8;100;100;60;40;60;75;60;150;60;20;60;60;;;;;;;;;;;
40;55;40;100;56;12;40;60;60;100;100;100;40;100;100;60;20;40;60;60;;;;;;;;;;;;;;;;;;
60;55;105;60;60;70;60;60;100;60;100;100;60;40;35;60;60;20;100;60;60;60;;;;;;;;;;;;;;;;
12;60;60;105;90;100;20;100;40;50;20;100;60;60;20;150;60;60;40;60;12;40;40;65;60;20;;;;;;;;;;;;
20;60;12;60;105;60;20;12;50;60;40;60;60;40;60;60;40;60;100;;;;;;;;;;;;;;;;;;;
60;60;60;12;20;60;60;40;100;60;40;60;40;300;100;;;;;;;;;;;;;;;;;;;;;;;
300;40;100;50;60;40;120;12;20;95;50;70;100;40;40;60;100;60;100;60;20;60;100;20;60;300;60;;;;;;;;;;;
500;60;55;100;9;60;60;100;40;12;50;60;100;60;40;50;35;50;9;12;20;60;60;60;60;60;100;;;;;;;;;;;
205;20;70;60;60;9;20;35;65;100;40;40;60;60;40;60;35;35;60;20;60;65;100;100;9;35;35;60;60;60;35;100;60;60;300;12;60;100
